price,bd&ba,sqft,address
"270,000","3bd,1ba",979,"5651 79th St,, ,Sacramento, CA 95824"
"467,900","3bd,2ba","1,302","5363 Birk Way,, ,Sacramento, CA 95835"
"429,000","3bd,3ba","1,720","3357 Auntine Burney St,, ,Sacramento, CA 95838"
"359,000","2bd,1ba",778 (on 0.25 acres),"5348 Poplar Blvd,, ,North Highlands, CA 95660"
"399,000","3bd,2ba","1,797","401 Kesner Ave,, ,Sacramento, CA 95838"
"799,900","5bd,3ba","3,686 (on 0.50 acres)","4823 Graduates Ln,, ,Sacramento, CA 95841"
"1,755,000",,270 South Ave,"270 South Ave,, ,Sacramento, CA 95838"
"350,000","2bd,3ba","1,288","4800 Westlake Pkwy #903,, ,Sacramento, CA 95835"
"636,950+","4bd,3ba","2,620","Woodberry at Bradshaw Crossing,, ,Sacramento, CA 95829"
"516,990+","4bd,3ba","1,705","Glendon Vineyards,, ,Sacramento, CA 95829"
"349,000","2bd,2ba",927,"7216 Willow Wind Ct,, ,Sacramento, CA 95828"
"500,000","4bd,2ba","1,577","7845 Kelvedon Way,, ,Sacramento, CA 95829"
"949,000","4bd,4ba","3,695","7738 Oakshore Dr,, ,Sacramento, CA 95831"
"350,000","4bd,2ba","1,494","2188 Cambridge St,, ,Sacramento, CA 95815"
"379,000","3bd,2ba","1,581","5913 Hillsdale Blvd,, ,Sacramento, CA 95842"
"690,000","5bd,3ba","3,319","8876 Skipjack Way,, ,Sacramento, CA 95828"
"419,900","3bd,2ba","1,190","6400 Walerga Rd,, ,North Highlands, CA 95660"
"459,500","4bd,3ba","1,734","2284 Atrisco Cir,, ,Sacramento, CA 95833"
"475,000","3bd,2ba","1,490","2554 Natomas Crossing Dr,, ,Sacramento, CA 95834"
"425,000","2bd,2ba","1,085","3809 2nd Ave,, ,Sacramento, CA 95817"
"479,900","3bd,2ba","1,327","8429 Story Ridge Way,, ,Antelope, CA 95843"
"399,900","3bd,2ba","1,018","7244 Dieppe Way,, ,Sacramento, CA 95842"
"558,000","4bd,3ba","2,211","2659 Mabry Dr,, ,Sacramento, CA 95835"
"459,900","3bd,2ba","1,284","9138 Colonsay Way,, ,Sacramento, CA 95829"
"349,900","3bd,2ba","1,032","Address Not Disclosed,, ,Sacramento, CA 95838"
"329,900","3bd,1ba",984 (on 0.50 acres),"430 Lampasas Ave,, ,Sacramento, CA 95815"
"242,900","2bd,1ba","840 (on 1,910 acres)","5160 Connecticut Dr #3,, ,Sacramento, CA 95841"
"310,000","3bd,1ba",864,"613 Lindsay Ave,, ,Sacramento, CA 95838"
"320,000","2bd,2ba",940,"3549 Treleaven Ct,, ,Antelope, CA 95843"
"615,000","4bd,3ba","2,193","5846 Da Vinci Way,, ,Sacramento, CA 95835"
"359,900","3bd,3ba","1,632","601 Woodside Sierra #2,, ,Sacramento, CA 95825"
"1,589,000","3bd,3ba","2,450","1301 37th St,, ,Sacramento, CA 95816"
"449,000","3bd,3ba","1,318","1217 Golden Angel Way,, ,Sacramento, CA 95838"
"499,900","3bd,2ba","1,327","23 Waterglen Cir,, ,Sacramento, CA 95826"
"599,000","3bd,1ba","1,150","3402 C St,, ,Sacramento, CA 95816"
"319,000","2bd,2ba","1,114","5881 Gloria Dr #5,, ,Sacramento, CA 95822"
"495,000",4bd,"1,852","5125 Rescue Ct,, ,Sacramento, CA 95841"
"370,000","3bd,1ba","1,120","6655 Demaret Dr,, ,Sacramento, CA 95822"
"589,000","3bd,2ba","1,726 (on 0.25 acres)","2424 Roslyn Way,, ,Sacramento, CA 95864"
"453,200","2bd,2ba",886,"7232 Old Nave Ct,, ,Sacramento, CA 95842"
"514,900","2bd,2ba","1,247","346 Zephyr Ranch Dr,, ,Sacramento, CA 95831"
"325,000","2bd,1ba",806,"2181 Cambridge St,, ,Sacramento, CA 95815"
"1,755,000",,260 South Ave,"260 South Ave,, ,Sacramento, CA 95838"
"84,900","2bd,2ba","1,056","7548 Hazelnut Ln #94,, ,Sacramento, CA 95828"
"29,900","2bd,1ba",560,"7726 Whispering Palms Dr,, ,Sacramento, CA 95823"
"541,000","3bd,3ba","1,629","8413 Oakenshield Cir,, ,Antelope, CA 95843"
"424,900","3bd,2ba","1,075","3621 Rancho Vista Way,, ,Sacramento, CA 95834"
"249,000","2bd,2ba","1,040","5922 Clover Manor Way,, ,Sacramento, CA 95824"
"430,000","4bd,2ba","1,300","6 Nunes Ct,, ,Sacramento, CA 95823"
"429,000","3bd,2ba","1,132","8652 Fobes Dr,, ,Antelope, CA 95843"
"529,100","3bd,1ba","1,486","2120 Weldon Way,, ,Sacramento, CA 95825"
"453,000","3bd,2ba","1,182","4205 Gold Ridge Way,, ,Antelope, CA 95843"
"879,000","3bd,3ba","2,099 (on 0.25 acres)","3351 Ben Lomond Dr,, ,Sacramento, CA 95821"
"569,950",2bd,"2,552","1405 Topaz Way,, ,Sacramento, CA 95864"
"339,000","2bd,3ba","1,200","2294 Sierra Blvd #A,, ,Sacramento, CA 95825"
"424,900","3bd,2ba","1,361","4901 Adorn Ct,, ,Sacramento, CA 95842"
"370,000","2bd,1ba",899,"2433 Laredo Rd,, ,Sacramento, CA 95825"
"374,900","4bd,1ba","1,039","5401 Cabrillo Way,, ,Sacramento, CA 95820"
"629,900","3bd,3ba","2,444","5467 Dunlay Dr,, ,Sacramento, CA 95835"
"949,000","3bd,3ba","2,417","2921 Latham Dr,, ,Sacramento, CA 95864"
"510,000","4bd,3ba","2,060","3928 Tawny Meadow Way,, ,Antelope, CA 95843"
"1,295,000",4bd,"3,420","1127 West St,, ,Sacramento, CA 95818"
"739,900",2bd,"2,692","2008 23rd St,, ,Sacramento, CA 95818"
"425,000","3bd,1ba","1,256","3534 Sophia Way,, ,Sacramento, CA 95820"
"587,990+","4bd,3ba","2,018","Antinori at Vineyard Creek,, ,Sacramento, CA 95829"
"456,016+","3bd,3ba","1,774","Portisol at Artisan Square,, ,Sacramento, CA 95835"
"386,700+","3bd,3ba","1,306","NUVO Artisan Square,, ,Sacramento, CA 95835"
"1,050,000","4bd,3ba","2,677 (on 0.25 acres)","3812 Esperanza Dr,, ,Sacramento, CA 95864"
"525,500","3bd,3ba","1,417","8355 Lemberger Way,, ,Sacramento, CA 95829"
"950,000","3bd,2ba","1,483","1047 47th St,, ,Sacramento, CA 95819"
"300,000",2bd,"1,152","5125 Thurman Way,, ,Sacramento, CA 95824"
"480,000","3bd,2ba","1,480","3625 Eastern Ave.,, ,Sacramento, CA 95821"
"589,900","4bd,2ba","1,553","3265 11th Ave,, ,Sacramento, CA 95817"
"599,990+","3bd,2ba","1,950","Redwood Collection at Parkside,, ,Sacramento, CA 95829"
"819,990+","3bd,4ba","1,818","L32,, ,Sacramento, CA 95816"
"521,990+","4bd,3ba","1,779","Glendon Vineyards,, ,Sacramento, CA 95829"
"569,950+","3bd,2ba","1,750","Woodberry at Bradshaw Crossing,, ,Sacramento, CA 95829"
"562,990+","3bd,2ba","2,071","Heritage Vineyard Creek,, ,Sacramento, CA 95829"
"499,000","3bd,2ba","1,480","9064 Caldera Way,, ,Sacramento, CA 95826"
"310,000","3bd,1ba","1,074","5925 Chapin Way,, ,Sacramento, CA 95824"
"659,000","2bd,1ba","1,137","3894 12th St,, ,Sacramento, CA 95822"
"400,000","4bd,2ba","1,662","7630 Tierra Glen Way,, ,Sacramento, CA 95828"
"739,900","3bd,2ba","1,391","5311 Aileen Way,, ,Sacramento, CA 95819"
"999,000","4bd,3ba","2,731","4400 B St,, ,Sacramento, CA 95819"
"650,000","4bd,3ba","2,053","5922 13th St,, ,Sacramento, CA 95822"
"330,000",2bd,"1,152","5119 Thurman Way,, ,Sacramento, CA 95824"
"401,600+","3bd,3ba","1,323","NUVO Artisan Square,, ,Sacramento, CA 95835"
"401,600+","3bd,3ba","1,354","NUVO Artisan Square,, ,Sacramento, CA 95835"
"412,990+","3bd,3ba","1,394","Provence,, ,Sacramento, CA 95834"
"549,900+","4bd,3ba","2,001","Wickford Square,, ,Sacramento, CA 95823"
"383,000+","3bd,3ba","1,295","NUVO Artisan Square,, ,Sacramento, CA 95835"
"199,000","3bd,1ba","1,340","3367 Western Ave,, ,Sacramento, CA 95838"
"285,000","2bd,2ba",968,"1019 Dornajo Way #219,, ,Sacramento, CA 95825"
"359,900","2bd,2ba","1,193","1900 Danbrook Dr #316,, ,Sacramento, CA 95835"
"650,000","2bd,2ba","1,447","2206 24th St,, ,Sacramento, CA 95818"
"673,200","4bd,3ba","2,370","4310 Echo Lake Way,, ,Sacramento, CA 95834"
"4,550,000",,4101 Taylor St,"4101 Taylor St,, ,Sacramento, CA 95838"
"465,000","3bd,2ba","1,756","3830 Lee Brook Way,, ,Sacramento, CA 95838"
"550,000","3bd,2ba","1,294 (on 0.75 acres)","7880 Bradshaw Rd,, ,Sacramento, CA 95829"
"1,050,000","4bd,4ba","2,443","812 51st St,, ,Sacramento, CA 95819"
"575,000","3bd,2ba","1,910","5635 Amnest Way,, ,Sacramento, CA 95835"
"513,200","3bd,2ba","1,311","2500 Prosper Rd,, ,Sacramento, CA 95834"
"425,000","4bd,3ba","1,686","5195 Ehrhardt Ave,, ,Sacramento, CA 95823"
"325,000",,22nd St,"22nd St,, ,Rio Linda, CA 95673"
"299,000","2bd,2ba","1,013","4101 35th Ave,, ,Sacramento, CA 95824"
"79,900","2bd,2ba","1,440","4206 Bouquet Way #37,, ,Sacramento, CA 95834"
"969,000",4bd,"2,678","709 19th St,, ,Sacramento, CA 95811"
"490,000","3bd,2ba","1,621","8551 Morning Skye Way,, ,Antelope, CA 95843"
"1,604,990","4bd,4ba","2,716","2366 5th Ave,, ,Sacramento, CA 95818"
"476,000","3bd,2ba","1,200 (on 0.25 acres)","9424 Torchy Ct,, ,Sacramento, CA 95826"
"339,000","3bd,1ba",901,"7245 Hutchins Way,, ,North Highlands, CA 95660"
"349,900","4bd,1ba","1,175 (on 0.25 acres)","2720 Albatross Way,, ,Sacramento, CA 95815"
"399,000","4bd,1ba","1,287","903 Watt Ave,, ,Sacramento, CA 95864"
"2,600,000","4bd,5ba","4,464 (on 0.75 acres)","3636 Fair Oaks Blvd,, ,Sacramento, CA 95864"
"950,000",6bd,"3,473","7976 Quaker Ridge Way,, ,Sacramento, CA 95829"
"359,900","3bd,1ba","1,092","8005 34th Ave,, ,Sacramento, CA 95824"
"399,000","2bd,1ba","1,018","3826 30th St,, ,Sacramento, CA 95820"
"209,000","1bd,1ba",733,"510 Woodside Oaks #5,, ,Sacramento, CA 95825"
